caldt,t30ret,t30ind
2009-01-30,0.000023,791.987900
2009-02-27,0.000147,792.104300
2009-03-31,0.000159,792.230200
2009-04-30,0.000125,792.329300
2009-05-29,0.000017,792.342800
2009-06-30,0.000075,792.402200
2009-07-31,0.000119,792.496300
2009-08-31,0.000116,792.588200
2009-09-30,0.000079,792.650900
2009-10-30,0.000040,792.682500
2009-11-30,0.000004,792.685700
2009-12-31,0.000062,792.735200
2010-01-29,0.000028,792.757500
2010-02-26,0.000010,792.765300
2010-03-31,0.000068,792.819300
2010-04-30,0.000111,792.907300
2010-05-28,0.000112,792.996100
2010-06-30,0.000127,793.096800
2010-07-30,0.000142,793.209400
2010-08-31,0.000126,793.309400
2010-09-30,0.000125,793.408600
2010-10-29,0.000112,793.497400
2010-11-30,0.000114,793.587900
2010-12-31,0.000140,793.698700
2011-01-31,0.000066,793.751100
2011-02-28,0.000122,793.847900
2011-03-31,0.000067,793.900900
2011-04-29,0.000053,793.943000
2011-05-31,0.000013,793.953300
2011-06-30,0.000035,793.981400
2011-07-29,-0.000028,793.959200
2011-08-31,0.000083,794.025100
2011-09-30,-0.000001,794.024300
2011-10-31,0.000014,794.035400
2011-11-30,0.000004,794.038600
2011-12-30,0.000000,794.038600
2012-01-31,-0.000002,794.037000
2012-02-29,0.000031,794.061600
2012-03-30,0.000046,794.098100
2012-04-30,0.000029,794.121200
2012-05-31,0.000065,794.172500
2012-06-29,0.000022,794.190000
2012-07-31,0.000032,794.215400
2012-08-31,0.000050,794.255100
2012-09-28,0.000067,794.308300
2012-10-31,0.000037,794.337700
2012-11-30,0.000085,794.405200
2012-12-31,0.000103,794.487300
2013-01-31,0.000022,794.504500
2013-02-28,0.000054,794.547300
2013-03-28,0.000041,794.580000
2013-04-30,0.000037,794.609300
2013-05-31,0.000012,794.619200
2013-06-28,0.000013,794.629600
2013-07-31,0.000009,794.636700
2013-08-30,0.000009,794.643800
2013-09-30,0.000008,794.650200
2013-10-31,0.000017,794.663900
2013-11-29,0.000032,794.689300
2013-12-31,0.000023,794.707600
2014-01-31,0.000012,794.717500
2014-02-28,0.000045,794.753300
2014-03-31,0.000028,794.775500
2014-04-30,0.000015,794.787400
2014-05-30,0.000008,794.793800
2014-06-30,0.000020,794.809700
2014-07-31,0.000013,794.819900
2014-08-29,0.000003,794.822300
2014-09-30,0.000004,794.825500
2014-10-31,0.000012,794.835400
2014-11-28,-0.000001,794.834600
2014-12-31,0.000005,794.838600
2015-01-30,0.000013,794.848900
2015-02-27,-0.000021,794.832200
2015-03-31,-0.000008,794.825900
2015-04-30,0.000029,794.849000
2015-05-29,-0.000005,794.845100
2015-06-30,0.000004,794.848200
2015-07-31,-0.000037,794.818400
2015-08-31,0.000027,794.839900
2015-09-30,-0.000006,794.835100
2015-10-30,-0.000027,794.813700
2015-11-30,0.000020,794.829600
2015-12-31,0.000103,794.911700
2016-01-29,0.000037,794.941100
2016-02-29,0.000205,795.104100
2016-03-31,0.000190,795.254800
2016-04-29,0.000051,795.295300
2016-05-31,0.000115,795.386800
2016-06-30,0.000188,795.536000
2016-07-29,0.000171,795.672000
2016-08-31,0.000165,795.803300
2016-09-30,0.000219,795.977600
2016-10-31,0.000168,796.111300
2016-11-30,0.000136,796.219600
2016-12-30,0.000239,796.409900
2017-01-31,0.000358,796.695000
2017-02-28,0.000364,796.985000
2017-03-31,0.000353,797.266000
2017-04-28,0.000537,797.694200
2017-05-31,0.000614,798.184000
2017-06-30,0.000617,798.676400
2017-07-31,0.000722,799.253100
2017-08-31,0.000827,799.914400
2017-09-29,0.000944,800.669500
2017-10-31,0.000840,801.342100
2017-11-30,0.000826,802.003700
2017-12-29,0.000884,802.712700
2018-01-31,0.001121,803.612500
2018-02-28,0.001073,804.474800
2018-03-29,0.000261,804.684900
2018-04-30,0.001433,805.838000
2018-05-31,0.001401,806.967200
2018-06-29,0.001408,808.103400
2018-07-31,0.001558,809.362500
2018-08-31,0.001575,810.637500
2018-09-28,0.001490,811.845300
2018-10-31,0.001890,813.379700
2018-11-30,0.001795,814.839700
2018-12-31,0.001930,816.412400
2019-01-31,0.001920,817.979600
2019-02-28,0.001809,819.459300
2019-03-29,0.001935,821.045000
2019-04-30,0.002125,822.789300
2019-05-31,0.001983,824.420900
2019-06-28,0.001853,825.948600
2019-07-31,0.001783,827.421400
2019-08-30,0.001908,829.000100
2019-09-30,0.001787,830.481500
2019-10-31,0.001531,831.752800
2019-11-29,0.001197,832.748400
2019-12-31,0.001431,833.940000
2020-01-31,0.001164,834.910600
2020-02-28,0.001208,835.919200
2020-03-31,0.001268,836.979400
2020-04-30,0.000003,836.982200
2020-05-29,0.000059,837.031500
2020-06-30,0.000111,837.124600
2020-07-31,0.000096,837.204900
2020-08-31,0.000079,837.271000
2020-09-30,0.000076,837.334600
2020-10-30,0.000073,837.395800
2020-11-30,0.000066,837.451000
2020-12-31,0.000060,837.501500
